FcpaEdges, SparkEdges, Context, CallSite
1, 1, 698, "$i6 = specialinvoke r0.<java.lang.AbstractStringBuilder: int hugeCapacity(int)>(i2)"
1, 1, 699, "specialinvoke $r0.<java.lang.OutOfMemoryError: void <init>()>()"
1, 1, 743, "specialinvoke r0.<java.lang.AbstractStringBuilder: java.lang.AbstractStringBuilder append(java.lang.String)>(r1)"
1, 1, 744, "i0 = virtualinvoke r0.<java.lang.String: int length()>()"
1, 1, 744, "specialinvoke r1.<java.lang.AbstractStringBuilder: void ensureCapacityInternal(int)>($i2)"
1, 1, 744, "virtualinvoke r0.<java.lang.String: void getChars(int,int,char[],int)>(0, i0, $r2, $i3)"
1, 1, 744, "$r3 = specialinvoke r1.<java.lang.AbstractStringBuilder: java.lang.AbstractStringBuilder appendNull()>()"
1, 1, 745, "specialinvoke r0.<java.lang.AbstractStringBuilder: void ensureCapacityInternal(int)>($i0)"
1, 1, 746, "$r3 = staticinvoke <java.util.Arrays: char[] copyOf(char[],int)>($r2, $i3)"
1, 1, 746, "$i3 = specialinvoke r0.<java.lang.AbstractStringBuilder: int newCapacity(int)>(i0)"
1, 1, 747, "$i6 = specialinvoke r0.<java.lang.AbstractStringBuilder: int hugeCapacity(int)>(i2)"
1, 1, 748, "specialinvoke $r0.<java.lang.OutOfMemoryError: void <init>()>()"
1, 1, 680, "specialinvoke r0.<java.lang.AbstractStringBuilder: java.lang.AbstractStringBuilder append(int)>(i0)"
